201001,-10.1                                                                    
201002,-14.5                                                                    
201003,-10.6                                                                    
201004,15.2                                                                     
201005,10.0                                                                     
201006,1.8                                                                      
201007,20.5                                                                     
201008,18.8                                                                     
201009,24.9                                                                     
201010,18.3                                                                     
201011,16.4                                                                     
201012,27.1                                                                     
201101,19.9                                                                     
201102,22.3                                                                     
201103,21.4                                                                     
201104,25.1                                                                     
201105,2.1                                                                      
201106,0.2                                                                      
201107,10.7                                                                     
201108,2.1                                                                      
201109,11.7                                                                     
201110,7.3                                                                      
201111,13.8                                                                     
201112,23.0                                                                     
201201,9.4                                                                      
201202,2.5                                                                      
201203,2.9                                                                      
201204,-7.1                                                                     
201205,-2.7                                                                     
201206,-10.4                                                                    
201207,-1.7                                                                     
201208,-5.0                                                                     
201209,2.6                                                                      
201210,2.4                                                                      
201211,3.9                                                                      
201212,-6.0                                                                     
201301,-1.1                                                                     
201302,-3.6                                                                     
201303,10.5                                                                     
201304,0.3                                                                      
201305,8.4                                                                      
201306,13.9                                                                     
201307,8.1                                                                      
201308,-0.5                                                                     
201309,3.9                                                                      
201310,-1.9                                                                     
201311,9.2                                                                      
201312,0.6                                                                      
201401,12.2                                                                     
201402,-1.3                                                                     
201403,-13.3                                                                    
201404,8.6                                                                      
201405,4.4                                                                      
201406,-1.5                                                                     
201407,-3.0                                                                     
201408,-11.4                                                                    
201409,-7.6                                                                     
201410,-8.0                                                                     
201411,-10.0                                                                    
201412,-5.5                                                                     
201501,-7.8                                                                     
201502,0.6                                                                      
201503,-11.2                                                                    
201504,-3.8                                                                     
201505,-13.7                                                                    
201506,-12.0                                                                    
201507,-14.7                                                                    
201508,-19.8                                                                    
201509,-17.8                                                                    
201510,-20.2                                                                    
201511,-5.3                                                                     
201512,-9.1                                                                     
201601,-19.7                                                                    
201602,-19.7                                                                    
201603,-4.7                                                                     
201604,-22.0                                                                    
201605,2.8                                                                      
201606,5.8                                                                      
201607,4.2                                                                      
201608,5.3                                                                      
201609,13.5                                                                     
201610,-4.3                                                                     
201611,-0.7                                                                     
201612,2.6                                                                      
201701,1.3                                                                      
201702,-2.2                                                                     
201703,5.1                                                                      
201704,-6.3                                                                     
201705,0.5                                                                      
201706,-10.4                                                                    
201707,8.1                                                                      
201708,3.3                                                                      
201709,6.9                                                                      
201710,9.1                                                                      
201711,11.8                                                                     
201712,-1.4                                                                     
201801,8.9                                                                      
201802,-6.0                                                                     
201803,10.5                                                                     
201804,4.5                                                                      
201805,2.1                                                                      
201806,-5.5                                                                     
201807,1.6                                                                      
201808,-6.9                                                                     
201809,-10.0                                                                    
201810,3.0                                                                      
201811,-0.1                                                                     
201812,9.3                                                                      
201901,-0.6                                                                     
201902,-13.5                                                                    
201903,-6.8                                                                     
201904,-1.3                                                                     
201905,-9.0                                                                     
201906,-10.4                                                                    
201907,-5.6                                                                     
201908,-4.4                                                                     
201909,-12.4                                                                    
201910,-5.6                                                                     
201911,-9.3                                                                     
201912,-5.5                                                                     
202001,1.3                                                                      
202002,-2.2                                                                     
202003,-5.2                                                                     
202004,-0.5                                                                     
202005,2.8                                                                      
202006,-9.6                                                                     
202007,4.2                                                                      
202008,9.8                                                                      
202009,10.5                                                                     
202010,4.2                                                                      
202011,9.2                                                                      
202012,16.9                                                                     
202101,16.5                                                                     
202102,11.5                                                                     
202103,-0.3                                                                     
202104,2.0                                                                      
202105,3.6                                                                      
202106,2.6                                                                      
202107,15.9                                                                     
202108,4.6                                                                      
202109,9.3                                                                      
202110,6.7                                                                      
202111,12.5                                                                     
202112,13.8                                                                     
202201,4.1                                                                      
202202,8.2                                                                      
202203,13.8                                                                     
202204,22.6                                                                     
202205,17.1                                                                     
202206,21.2                                                                     
202207,8.7                                                                      
202208,9.1                                                                      
202209,18.3                                                                     
202210,17.7                                                                     
202211,4.6                                                                      
202212,20.0                                                                     
202301,11.8                                                                     
202302,10.5                                                                     
202303,-2.0                                                                     
202304,0.3                                                                      
202305,-18.5                                                                    
202306,0.2                                                                      
202307,-4.3                                                                     
202308,-12.7                                                                    
202309,-13.6                                                                    
202310,-6.8                                                                     
202311,-8.6                                                                     
202312,-2.4                                                                     
202401,3.7                                                                      
202402,-12.6                                                                    
202403,-0.3                                                                     
202404,-6.3                                                                     
202405,3.6                                                                      
202406,-3.1                                                                     
202407,-6.9                                                                     
202408,7.8                                                                      
202409,-1.0                                                                     
202410,4.2                                                                      
202411,6.5                                                                      
202412,10.8                                                                     
202501,3.7                                                                      
202502,7.7                                                                      
202503,10.0                                                                     
202504,3.6                                                                      
202505,2.1                                                                      
202506,1.8                                                                      
202507,6.8                                                                      
202508,2.1                                                                      
202509,0.2                                                                      
202510,10.9                                                                     
202511,12.5                                                                     
202512,0.1                                                                      
